Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BBCA.JK,BBRI.JK,BBCA.JK,BBRI.JK,BBCA.JK,BBRI.JK,BBCA.JK,BBRI.JK,BBCA.JK,BBRI.JK
Datetime,,,,,,,,,,
2024-12-24 02:00:00+00:00,9825.0,4180.0,9900.0,4230.0,9800.0,4170.0,9850.0,4230.0,0,0
2024-12-24 02:05:00+00:00,9800.0,4210.0,9825.0,4210.0,9800.0,4170.0,9800.0,4180.0,178100,7523800
2024-12-24 02:10:00+00:00,9825.0,4240.0,9825.0,4240.0,9800.0,4210.0,9800.0,4210.0,905500,7283600
2024-12-24 02:15:00+00:00,9825.0,4230.0,9825.0,4250.0,9800.0,4220.0,9800.0,4230.0,116400,7813600
2024-12-24 02:20:00+00:00,9825.0,4220.0,9825.0,4240.0,9800.0,4210.0,9825.0,4220.0,111000,10749600
2024-12-24 02:25:00+00:00,9825.0,4230.0,9825.0,4230.0,9800.0,4220.0,9825.0,4230.0,148700,416600
2024-12-24 02:30:00+00:00,9800.0,4230.0,9825.0,4230.0,9800.0,4220.0,9800.0,4230.0,105600,1239100
2024-12-24 02:35:00+00:00,9800.0,4210.0,9825.0,4230.0,9800.0,4210.0,9825.0,4220.0,205600,2183800
2024-12-24 02:40:00+00:00,9825.0,4210.0,9825.0,4220.0,9800.0,4200.0,9825.0,4210.0,593500,5616600
2024-12-24 02:45:00+00:00,9825.0,4200.0,9825.0,4210.0,9800.0,4200.0,9825.0,4200.0,551000,3136400
2024-12-24 02:50:00+00:00,9825.0,4200.0,9825.0,4210.0,9800.0,4190.0,9825.0,4210.0,132600,2309900
2024-12-24 02:55:00+00:00,9825.0,4210.0,9825.0,4210.0,9800.0,4190.0,9800.0,4200.0,60600,1958000
2024-12-24 03:00:00+00:00,9800.0,4200.0,9825.0,4210.0,9800.0,4190.0,9825.0,4210.0,65100,2100500
2024-12-24 03:05:00+00:00,9800.0,4190.0,9825.0,4200.0,9800.0,4190.0,9825.0,4200.0,187700,495200
2024-12-24 03:10:00+00:00,9800.0,4200.0,9825.0,4200.0,9800.0,4190.0,9825.0,4190.0,113200,887400
2024-12-24 03:15:00+00:00,9825.0,4210.0,9825.0,4210.0,9800.0,4190.0,9800.0,4200.0,66500,6028600
2024-12-24 03:20:00+00:00,9825.0,4210.0,9825.0,4220.0,9800.0,4200.0,9800.0,4210.0,36000,1543300
2024-12-24 03:25:00+00:00,9800.0,4220.0,9825.0,4220.0,9800.0,4200.0,9825.0,4200.0,182800,2028200
2024-12-24 03:30:00+00:00,9800.0,4220.0,9825.0,4220.0,9775.0,4210.0,9825.0,4210.0,1288600,355300
2024-12-24 03:35:00+00:00,9800.0,4220.0,9800.0,4220.0,9775.0,4210.0,9775.0,4210.0,107100,544500
2024-12-24 03:40:00+00:00,9800.0,4210.0,9800.0,4220.0,9775.0,4200.0,9775.0,4210.0,57800,1910800
2024-12-24 03:45:00+00:00,9800.0,4220.0,9800.0,4220.0,9775.0,4210.0,9775.0,4210.0,102500,358200
2024-12-24 03:50:00+00:00,9775.0,4220.0,9800.0,4230.0,9775.0,4210.0,9800.0,4210.0,243700,2600100
2024-12-24 03:55:00+00:00,9800.0,4210.0,9800.0,4230.0,9775.0,4210.0,9775.0,4220.0,91100,551900
2024-12-24 04:00:00+00:00,9825.0,4220.0,9825.0,4230.0,9775.0,4210.0,9800.0,4220.0,1435500,3551900
2024-12-24 04:05:00+00:00,9800.0,4220.0,9825.0,4230.0,9800.0,4210.0,9825.0,4220.0,427300,245000
2024-12-24 04:10:00+00:00,9800.0,4220.0,9825.0,4220.0,9800.0,4210.0,9800.0,4220.0,261400,473200
2024-12-24 04:15:00+00:00,9800.0,4220.0,9825.0,4220.0,9800.0,4210.0,9825.0,4210.0,102500,438700
2024-12-24 04:20:00+00:00,9800.0,4210.0,9825.0,4230.0,9800.0,4210.0,9800.0,4220.0,124400,2164000
